epoch,train_loss,train_acc,val_loss,val_top1_acc,val_top5_acc,lr,epoch_time_s
1,3.306470,0.079770,3.357777,0.071068,0.291988,1.000000e-03,30.99
2,3.246892,0.095417,3.335672,0.071958,0.314985,9.999383e-04,28.15
3,3.220622,0.103752,3.338999,0.071513,0.308754,9.997533e-04,28.23
4,3.189145,0.112998,3.289603,0.091988,0.324777,9.994449e-04,28.29
5,3.154379,0.126556,3.275385,0.094065,0.334866,9.990134e-04,28.35
6,3.121423,0.133624,3.274019,0.092878,0.349407,9.984587e-04,28.36
7,3.098147,0.142448,3.241659,0.106231,0.356677,9.977810e-04,28.38
8,3.070171,0.152627,3.230243,0.113501,0.370623,9.969805e-04,28.41
9,3.040744,0.162718,3.210763,0.117359,0.380415,9.960574e-04,28.38
10,3.016459,0.168385,3.199753,0.127151,0.378190,9.950118e-04,28.40
11,2.988791,0.175053,3.182513,0.125074,0.370920,9.938442e-04,28.41
12,2.968097,0.184233,3.181143,0.117953,0.379822,9.925547e-04,28.43
13,2.940760,0.192634,3.171095,0.127300,0.390653,9.911436e-04,28.41
14,2.921730,0.196102,3.152645,0.132344,0.404006,9.896114e-04,28.43
15,2.897937,0.204081,3.154560,0.130415,0.393323,9.879584e-04,28.41
16,2.883271,0.209593,3.157167,0.132196,0.403858,9.861850e-04,28.40
17,2.859253,0.213860,3.177394,0.128190,0.387834,9.842916e-04,28.38
18,2.839715,0.218239,3.142674,0.135312,0.405490,9.822787e-04,28.38
19,2.824706,0.223640,3.141659,0.140801,0.418101,9.801468e-04,28.42
20,2.804727,0.228241,3.157367,0.135905,0.405638,9.778965e-04,28.40
21,2.783953,0.236864,3.148272,0.139911,0.413798,9.755283e-04,28.38
22,2.766545,0.239087,3.127678,0.142878,0.420475,9.730427e-04,28.39
23,2.748358,0.244421,3.137171,0.140356,0.417804,9.704404e-04,28.41
24,2.731474,0.249222,3.128736,0.141395,0.425519,9.677220e-04,28.42
25,2.712008,0.252756,3.100981,0.148220,0.425964,9.648882e-04,28.41
26,2.693577,0.259446,3.115246,0.145846,0.424184,9.619398e-04,28.38
27,2.682134,0.257913,3.098735,0.151187,0.429674,9.588773e-04,28.42
28,2.654895,0.266692,3.120424,0.142730,0.421958,9.557016e-04,28.43
29,2.639015,0.270982,3.091599,0.151039,0.435312,9.524135e-04,28.42
30,2.617104,0.277338,3.096780,0.146588,0.429377,9.490138e-04,28.39
31,2.602767,0.281406,3.132339,0.143175,0.422255,9.455033e-04,28.42
32,2.585271,0.285717,3.099216,0.150593,0.437240,9.418828e-04,28.44
33,2.563443,0.289740,3.088092,0.153412,0.443027,9.381533e-04,28.43
34,2.545995,0.294541,3.124898,0.150297,0.437982,9.343158e-04,28.36
35,2.524306,0.300409,3.108749,0.151039,0.445994,9.303710e-04,28.40
36,2.502896,0.304321,3.097465,0.154451,0.445846,9.263201e-04,28.41
37,2.481041,0.309744,3.110951,0.154451,0.447478,9.221640e-04,28.42
38,2.458322,0.314900,3.133706,0.156380,0.446439,9.179037e-04,28.40
39,2.431335,0.319101,3.117858,0.151929,0.443027,9.135403e-04,28.41
40,2.408450,0.326325,3.150683,0.153116,0.429228,9.090749e-04,28.43
41,2.387495,0.332103,3.166301,0.146884,0.415282,9.045085e-04,28.40
42,2.364991,0.336460,3.168196,0.154451,0.441840,8.998423e-04,28.44
43,2.342276,0.342616,3.227028,0.153858,0.440208,8.950775e-04,28.42
44,2.318065,0.346795,3.204821,0.155490,0.439466,8.902152e-04,28.42
45,2.289258,0.352685,3.210798,0.145846,0.413056,8.852566e-04,41.46
46,2.263892,0.359886,3.211621,0.152226,0.431602,8.802030e-04,59.34
47,2.242353,0.364243,3.237231,0.148665,0.416024,8.750555e-04,59.35
48,2.211747,0.370444,3.245850,0.152374,0.426706,8.698155e-04,59.33
